Fecha,Referencia,Detalle de Transacciones,Débitos,Créditos,Balance
26/03/2019,0000003075,Pago Cheque Via Deposito,"35,322.39",,"2,715,576.01"
26/03/2019,0000003075,Impuesto Art.12 Ley No.288-04,52.98,,"2,715,523.03"
27/03/2019,0000003096,Pago cheque por caja,"15,000.00",,"2,700,523.03"
27/03/2019,0000003096,Impuesto Art.12 Ley No.288-04,22.50,,"2,700,500.53"
27/03/2019,0000003090,Pago Cheque Via Deposito,"275,000.00",,"2,425,500.53"
27/03/2019,0000003090,Impuesto Art.12 Ley No.288-04,412.50,,"2,425,088.03"
27/03/2019,0000002847,Pago de Cheque Via Camara,"181,936.00",,"2,243,152.03"
27/03/2019,0000002847,Impuesto Art.12 Ley No.288-04,272.90,,"2,242,879.13"
27/03/2019,0000002938,Pago de Cheque Via Camara,"236,843.42",,"2,006,035.71"
27/03/2019,0000002938,Impuesto Art.12 Ley No.288-04,355.26,,"2,005,680.45"
27/03/2019,0000003095,Pago de Cheque Via Camara,"24,780.00",,"1,980,900.45"
27/03/2019,0000003095,Impuesto Art.12 Ley No.288-04,37.17,,"1,980,863.28"
28/03/2019,0000003093,Pago cheque por caja,"8,000.00",,"1,972,863.28"
28/03/2019,0000003093,Impuesto Art.12 Ley No.288-04,12.00,,"1,972,851.28"
28/03/2019,0000003097,Pago de Cheque Via Camara,"3,102.00",,"1,969,749.28"
28/03/2019,0000003097,Impuesto Art.12 Ley No.288-04,4.65,,"1,969,744.63"
29/03/2019,0000003099,Pago de Cheque Via Camara,"20,000.00",,"1,949,744.63"
29/03/2019,0000003099,Impuesto Art.12 Ley No.288-04,30.00,,"1,949,714.63"
29/03/2019,0000000000,Com.por Envio/Retencion Estado,100.00,,"1,949,614.63"
29/03/2019,0000000000,Comision Mensual Mant. Cuenta,200.00,,"1,949,414.63"
,54 CKS,133 Débitos     15 Créditos ,"6,699,377.03","5,819,147.33",
